FactorID,Scope,CategoryID,ActivityType,Region,Factor,FactorUnit,Source,Method
EF_NG,Scope 1,1,Natural gas (stationary),Global,0.183,kgCO2e/kWh,UK Government GHG Conversion Factors 2024 (approx.),Fuel-based
EF_DSL,Scope 1,1,Diesel (mobile & stationary),Global,2.51,kgCO2e/litre,UK Government GHG Conversion Factors 2024 (approx.),Fuel-based
EF_PET,Scope 1,1,Petrol (company cars),Global,2.08,kgCO2e/litre,UK Government GHG Conversion Factors 2024 (approx.),Fuel-based
EF_LPG,Scope 1,1,LPG (forklifts & burners),Global,1.56,kgCO2e/litre,UK Government GHG Conversion Factors 2024 (approx.),Fuel-based
EF_R410A,Scope 1,1,Refrigerant R-410A leakage,Global,2088.0,kgCO2e/kg,"IPCC AR4 GWP100 (AR5: 1,924; AR6: 2,256) — choose per reporting basis",Mass-balance
EF_EL_TH,Scope 2,2,Purchased electricity,TH,0.5,kgCO2e/kWh,"Thailand national grid factor (TGO, approx.)",Location-based
EF_EL_VN,Scope 2,2,Purchased electricity,VN,0.68,kgCO2e/kWh,"Vietnam national grid factor (MONRE, approx.)",Location-based
EF_EL_DE,Scope 2,2,Purchased electricity,DE,0.38,kgCO2e/kWh,"Germany grid factor (UBA, approx.)",Location-based
EF_EL_US,Scope 2,2,Purchased electricity,US,0.37,kgCO2e/kWh,"US national average (EPA eGRID, approx.)",Location-based
EF_EL_MKT_ZERO,Scope 2,2,Contractual instrument (PPA / GO-backed tariff),Global,0.0,kgCO2e/kWh,"Market-based: zero for covered volume, residual mix or grid factor otherwise",Market-based
EF_SP_STEEL,Scope 3,3.1,Steel and iron castings (spend),Global,0.85,kgCO2e/USD,"EPA USEEIO v2 supply-chain factors (approx., 2022 USD)",Spend-based
EF_SP_STEEL_SUP,Scope 3,3.1,Steel and iron castings (supplier PCF),Global,0.62,kgCO2e/USD,"Supplier-specific product carbon footprint (2025 onwards, main casting supplier)",Supplier-specific
EF_SP_MOTOR,Scope 3,3.1,Electric motors and copper windings (spend),Global,0.6,kgCO2e/USD,EPA USEEIO v2 (approx.),Spend-based
EF_SP_PLAST,Scope 3,3.1,Plastic components (spend),Global,0.55,kgCO2e/USD,EPA USEEIO v2 (approx.),Spend-based
EF_SP_ELEC,Scope 3,3.1,Electronics and controllers (spend),Global,0.25,kgCO2e/USD,EPA USEEIO v2 (approx.),Spend-based
EF_SP_PACK,Scope 3,3.1,Packaging (spend),Global,0.45,kgCO2e/USD,EPA USEEIO v2 (approx.),Spend-based
EF_SP_CHEM,Scope 3,3.1,"Paints, coatings and chemicals (spend)",Global,0.7,kgCO2e/USD,EPA USEEIO v2 (approx.),Spend-based
EF_SP_SERV,Scope 3,3.1,"Professional, IT and maintenance services (spend)",Global,0.1,kgCO2e/USD,EPA USEEIO v2 (approx.),Spend-based
EF_SP_CAPEX,Scope 3,3.2,Machinery and equipment (spend),Global,0.35,kgCO2e/USD,EPA USEEIO v2 (approx.),Spend-based
EF_WTT_NG,Scope 3,3.3,Natural gas well-to-tank,Global,0.028,kgCO2e/kWh,UK Government WTT factors 2024 (approx.),Fuel-based
